id,name,city,state,lat,long
204,Hawai'i Nui Brewing Co.,Hilo,HI,19.7073734,-155.0815803
205,People's Brewing Company,Lafayette,IN,40.4034666,-86.8904233
206,Fort George Brewery,Astoria,OR,46.187885,-123.831256
207,Branchline Brewing Company,San Antonio,TX,29.4246002,-98.4951405
208,Kalona Brewing Company,Kalona,IA,41.4830723,-91.7060016
209,Modern Times Beer,San Diego,CA,32.7174202,-117.1627728
210,Temperance Beer Company,Evanston,IL,42.0447388,-87.6930459
211,Wisconsin Brewing Company,Verona,WI,42.9905492,-89.5335575
212,Crow Peak Brewing Company,Spearfish,SD,44.490817,-103.85937
213,Grapevine Craft Brewery,Farmers Branch,TX,32.9265137,-96.8961151
214,Buffalo Bayou Brewing Company,Houston,TX,29.7589382,-95.3676974
215,Texian Brewing Co.,Richmond,TX,29.5821811,-95.7607832
216,Orpheus Brewing,Atlanta,GA,33.7849591,-84.442163
217,Forgotten Boardwalk,Cherry Hill,NJ,39.9348351,-75.0307264
218,Laughing Dog Brewing Company,Ponderay,ID,48.3054806,-116.5338037
219,Bozeman Brewing Company,Bozeman,MT,45.6794293,-111.044047
220,Big Choice Brewing,Broomfield,CO,39.9203827,-105.0691464
221,Big Storm Brewing Company,Odessa,FL,28.183222,-82.55402792
222,Carton Brewing Company,Atlantic Highlands,NJ,40.4078865,-74.034306
223,Midnight Sun Brewing Company,Anchorage,AK,61.2163129,-149.894852
224,Fat Head's Brewery,Middleburg Heights,OH,41.3614401,-81.812912
225,Refuge Brewery,Temecula,CA,33.4946353,-117.1473661
226,Chatham Brewing,Chatham,NY,42.3642517,-73.5948391
227,DC Brau Brewing Company,Washington,DC,38.8949924,-77.0365581
228,Geneva Lake Brewing Company,Lake Geneva,WI,42.5916836,-88.4334301
229,Rochester Mills Brewing Company,Rochester,MI,44.0234387,-92.4630182
230,Cape Ann Brewing Company,Gloucester,MA,42.6159286,-70.6619888
231,Borderlands Brewing Company,Tucson,AZ,32.2228765,-110.9748477
232,College Street Brewhouse and Pub,Lake Havasu City,AZ,34.4838502,-114.3224495
233,Joseph James Brewing Company,Henderson,NV,36.0301134,-114.9826194
234,Harpoon Brewery,Boston,MA,42.3602534,-71.0582912
235,Back East Brewing Company,Bloomfield,CT,41.830959,-72.737419
236,Champion Brewing Company,Charlottesville,VA,38.031052,-78.474159
237,Devil's Backbone Brewing Company,Lexington,VA,38.0464066,-84.4970393
238,Newburgh Brewing Company,Newburgh,NY,41.5034271,-74.0104179
239,Wiseacre Brewing Company,Memphis,TN,35.1490215,-90.0516285
240,Golden Road Brewing,Los Angeles,CA,34.0536909,-118.242766
241,New Republic Brewing Company,College Station,TX,30.5955289,-96.3071042
242,Infamous Brewing Company,Austin,TX,30.2711286,-97.7436995
243,Two Henrys Brewing Company,Plant City,FL,28.01633,-82.1234803
244,Lift Bridge Brewing Company,Stillwater,MN,45.0564041,-92.8134982
245,Lucky Town Brewing Company,Jackson,MS,30.8336524,-91.1914378
246,Quest Brewing Company,Greenville,SC,34.851354,-82.3984882
247,Creature Comforts,Athens,GA,32.2105899,-95.8801625
248,Half Full Brewery,Stamford,CT,42.3813594,-83.3764016
249,Southampton Publick House,Southampton,NY,40.884267,-72.3895296
250,Chapman's Brewing,Angola,IN,41.634781,-85.003998
251,Barrio Brewing Company,Tucson,AZ,32.2228765,-110.9748477
252,Santa Cruz Mountain Brewing,Santa Cruz,CA,37.050096,-121.9905908
253,Frankenmuth Brewery,Frankenmuth,MI,43.3496398,-83.78327106
254,Meckley's Cidery,Somerset Center,MI,42.0511543,-84.4135604
255,Stillwater Artisanal Ales,Baltimore,MD,39.2908816,-76.610759
256,Finch's Beer Company,Chicago,IL,41.8755616,-87.6244212
257,South Austin Brewery,South Austin,TX,32.4669645,-98.6853471
258,Bauhaus Brew Labs,Minneapolis,MN,44.9772995,-93.2654692
259,Ozark Beer Company,Rogers,AR,36.3320197,-94.1185366
